"*ContactName","EmailAddress","POAddressLine1","POAddressLine2","POAddressLine3","POAddressLine4","POCity","PORegion","POPostalCode","POCountry","*InvoiceNumber","Reference","*InvoiceDate","*DueDate","Total","InventoryItemCode","*Description","*Quantity","*UnitAmount","Discount","*AccountCode","*TaxType","TaxAmount","TrackingName1","TrackingOption1","TrackingName2","TrackingOption2","Currency","Branding Theme"
"0403 DARACON","","","","","","","","","","W37772","10,285","20/12/2023","19/01/2024","","OUT OF PIT:ex pit/f","WI225809/1    FHE480    36.94t    Fill Sand Will",36.94,10,"","411000","GST on Income",36.94,"","","","","",""
"0403 DARACON","","","","","","","","","","W37772","10,285","20/12/2023","19/01/2024","","OUT OF PIT:ex pit/f","WI225810/1    XO25FD    37.02t    Fill Sand Will",37.02,9.999999999999998,"","411000","GST on Income",37.02,"","","","","",""
"0403 DARACON","","","","","","","","","","W37772","10,285","20/12/2023","19/01/2024","","OUT OF PIT:ex pit/f","WI225811/1    XN15KO    37.12t    Fill Sand Will",37.12,10,"","411000","GST on Income",37.12,"","","","","",""
"0403 DARACON","","","","","","","","","","W37772","10,285","20/12/2023","19/01/2024","","OUT OF PIT:ex pit/f","WI225573/1    FHE222    31.12t    Fill Sand Will",31.12,10,"","411000","GST on Income",31.12,"","","","","",""
"0403 DARACON","","","","","","","","","","W37772","10,285","20/12/2023","19/01/2024","","OUT OF PIT:ex pit/f","WI225574/1    XO25FD    36.80t    Fill Sand Will",36.8,10,"","411000","GST on Income",36.8,"","","","","",""
"0403 DARACON","","","","","","","","","","W37772","10,285","20/12/2023","19/01/2024","","OUT OF PIT:ex pit/f","WI225575/1    FHE610    37.00t    Fill Sand Will",37,10,"","411000","GST on Income",37,"","","","","",""
"0403 DARACON","","","","","","","","","","W37772","10,285","20/12/2023","19/01/2024","","OUT OF PIT:ex pit/f","WI225579/1    3SNOOP    38.48t    Fill Sand Will",38.48,10.000000000000002,"","411000","GST on Income",38.48,"","","","","",""
"0403 DARACON","","","","","","","","","","W37772","10,285","20/12/2023","19/01/2024","","OUT OF PIT:ex pit/f","WI225585/1    FHE620    38.34t    Fill Sand Will",38.34,9.999999999999998,"","411000","GST on Income",38.34,"","","","","",""
"0403 DARACON","","","","","","","","","","W37772","10,285","20/12/2023","19/01/2024","","OUT OF PIT:ex pit/f","WI225586/1    FHE480    37.18t    Fill Sand Will",37.18,10,"","411000","GST on Income",37.18,"","","","","",""
"0403 DARACON","","","","","","","","","","W37772","10,285","20/12/2023","19/01/2024","","OUT OF PIT:ex pit/f","WI225595/1    FHE222    31.24t    Fill Sand Will",31.24,10,"","411000","GST on Income",31.24,"","","","","",""
