"Narration","Date","Description","Account Code","Line Amount","Tax Rate","Tax Amount","Line Amount Types","tracking 1 Name","tracking 1 Option","tracking 2 Name","tracking 2 Option","Status","Trans #"
"PV202106008","30/06/2021",".","9999",-11400,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202106008","30/06/2021",".","5111101",12000,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202106008","30/06/2021",".","9999",-600,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202107001","09/07/2021",".","9999",-3004.62,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202107001","09/07/2021",".","9999",3004.62,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202107002","09/07/2021",".","9999",-600,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202107002","09/07/2021",".","9999",600,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"JV202107004","19/07/2021",".","9999",1047040,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"JV202107004","19/07/2021",".","3000",-1047040,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202107003","20/07/2021",".","9999",-1430,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202107003","20/07/2021",".","5131102",1380,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202107003","20/07/2021",".","5131111",50,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202107005","29/07/2021",".","9999",-300000,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202107005","29/07/2021",".","5161101",308653.85,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202107005","29/07/2021",".","9999",-8653.85,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202107006","29/07/2021",".","9999",-12000,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202107006","29/07/2021",".","9999",12000,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202107003","29/07/2021",".","9999",-11700,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202107003","29/07/2021",".","5111101",12000,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202107003","29/07/2021",".","5121101",300,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202107003","29/07/2021",".","9999",-600,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202108002","04/08/2021",".","9999",-600,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202108002","04/08/2021",".","9999",600,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202108001","12/08/2021",".","9999",-8668.85,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202108001","12/08/2021",".","9999",8653.85,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202108001","12/08/2021",".","5131111",15,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202108003","31/08/2021",".","9999",-61625,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202108003","31/08/2021",".","5111101",62000,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202108003","31/08/2021",".","5121101",375,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202108003","31/08/2021",".","9999",-750,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202109001","20/09/2021",".","9999",-300000,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202109001","20/09/2021",".","5161101",308653.85,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202109001","20/09/2021",".","9999",-8653.85,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202109002","27/09/2021",".","9999",-750,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202109002","27/09/2021",".","9999",750,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202109003","30/09/2021",".","9999",-61625,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202109003","30/09/2021",".","5111101",62000,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202109003","30/09/2021",".","5121101",375,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202109003","30/09/2021",".","9999",-750,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202109004","06/10/2021",".","9999",-21761.82,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202109004","06/10/2021",".","5131108",21761.82,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202110001","14/10/2021",".","9999",-750,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
"PV202110001","14/10/2021",".","9999",750,"BAS Excluded","","Exclusive",,"","","","DRAFT",""
