"Account Code","Balance","Conversion Date"
"1",-17,"NaN-NaN-NaN"
"1",-17,"NaN-NaN-NaN"
"3",-30,"NaN-NaN-NaN"
"3",-30,"NaN-NaN-NaN"
"3",-30,"NaN-NaN-NaN"
"3",-30,"NaN-NaN-NaN"
"4",-14,"NaN-NaN-NaN"
"4",-14,"NaN-NaN-NaN"
"5",-14,"NaN-NaN-NaN"
"5",-14,"NaN-NaN-NaN"
"6",-14,"NaN-NaN-NaN"
"6",-14,"NaN-NaN-NaN"
"7",-14,"NaN-NaN-NaN"
"7",-14,"NaN-NaN-NaN"
"2",-30,"NaN-NaN-NaN"
"2",-30,"NaN-NaN-NaN"
"2",-30,"NaN-NaN-NaN"
"2",-30,"NaN-NaN-NaN"
"8",-30,"NaN-NaN-NaN"
"8",-30,"NaN-NaN-NaN"
"9",-1,"NaN-NaN-NaN"
"9",-1,"NaN-NaN-NaN"
"9",-1,"NaN-NaN-NaN"
"9",-1,"NaN-NaN-NaN"
"90",-1,"NaN-NaN-NaN"
"90",-1,"NaN-NaN-NaN"
"90",-1,"NaN-NaN-NaN"
"90",-1,"NaN-NaN-NaN"
"90",-1,"NaN-NaN-NaN"
"90",-1,"NaN-NaN-NaN"
"90",-1,"NaN-NaN-NaN"
"90",-1,"NaN-NaN-NaN"
"91",-1,"NaN-NaN-NaN"
"91",-1,"NaN-NaN-NaN"
"91",-1,"NaN-NaN-NaN"
"91",-1,"NaN-NaN-NaN"
"92",-1,"NaN-NaN-NaN"
"92",-1,"NaN-NaN-NaN"
"10",-25,"NaN-NaN-NaN"
"10",-25,"NaN-NaN-NaN"
"11",-28,"NaN-NaN-NaN"
"11",-28,"NaN-NaN-NaN"
"11",-28,"NaN-NaN-NaN"
"11",-28,"NaN-NaN-NaN"
"17",-28,"NaN-NaN-NaN"
"17",-28,"NaN-NaN-NaN"
"18",-28,"NaN-NaN-NaN"
"18",-28,"NaN-NaN-NaN"
"12",-3,"NaN-NaN-NaN"
"12",-3,"NaN-NaN-NaN"
"14",-28,"NaN-NaN-NaN"
"14",-28,"NaN-NaN-NaN"
"14",-28,"NaN-NaN-NaN"
"14",-28,"NaN-NaN-NaN"
"14",-28,"NaN-NaN-NaN"
"13",-11,"NaN-NaN-NaN"
"13",-11,"NaN-NaN-NaN"
"13",-11,"NaN-NaN-NaN"
"16",-11,"NaN-NaN-NaN"
"16",-11,"NaN-NaN-NaN"
"16",-11,"NaN-NaN-NaN"
"19",-11,"NaN-NaN-NaN"
"19",-11,"NaN-NaN-NaN"
"20",-11,"NaN-NaN-NaN"
"20",-11,"NaN-NaN-NaN"
"21",-11,"NaN-NaN-NaN"
"21",-11,"NaN-NaN-NaN"
"15",-31,"NaN-NaN-NaN"
"15",-31,"NaN-NaN-NaN"
"15",-31,"NaN-NaN-NaN"
"15",-31,"NaN-NaN-NaN"
"15",-31,"NaN-NaN-NaN"
"22",-23,"NaN-NaN-NaN"
"22",-23,"NaN-NaN-NaN"
"22",-23,"NaN-NaN-NaN"
"23",-23,"NaN-NaN-NaN"
"23",-23,"NaN-NaN-NaN"
"23",-23,"NaN-NaN-NaN"
"23",-23,"NaN-NaN-NaN"
"23",-23,"NaN-NaN-NaN"
"24",-23,"NaN-NaN-NaN"
"24",-23,"NaN-NaN-NaN"
"25",-23,"NaN-NaN-NaN"
"25",-23,"NaN-NaN-NaN"
"25",-23,"NaN-NaN-NaN"
"25",-23,"NaN-NaN-NaN"
"27",-5,"NaN-NaN-NaN"
"27",-5,"NaN-NaN-NaN"
"26",-24,"NaN-NaN-NaN"
"26",-24,"NaN-NaN-NaN"
"26",-24,"NaN-NaN-NaN"
"26",-24,"NaN-NaN-NaN"
"29",-31,"NaN-NaN-NaN"
"29",-31,"NaN-NaN-NaN"
"29",-31,"NaN-NaN-NaN"
"29",-31,"NaN-NaN-NaN"
"30",-2,"NaN-NaN-NaN"
"30",-2,"NaN-NaN-NaN"
"31",-2,"NaN-NaN-NaN"
"31",-2,"NaN-NaN-NaN"
"28",-4,"NaN-NaN-NaN"
"28",-4,"NaN-NaN-NaN"
"32",-18,"NaN-NaN-NaN"
"32",-18,"NaN-NaN-NaN"
"34",-18,"NaN-NaN-NaN"
"34",-18,"NaN-NaN-NaN"
"35",-18,"NaN-NaN-NaN"
"35",-18,"NaN-NaN-NaN"
"33",-29,"NaN-NaN-NaN"
"33",-29,"NaN-NaN-NaN"
"33",-29,"NaN-NaN-NaN"
"33",-29,"NaN-NaN-NaN"
"36",-30,"NaN-NaN-NaN"
"36",-30,"NaN-NaN-NaN"
"36",-30,"NaN-NaN-NaN"
"37",-9,"NaN-NaN-NaN"
"37",-9,"NaN-NaN-NaN"
"38",-9,"NaN-NaN-NaN"
"38",-9,"NaN-NaN-NaN"
"40",-19,"NaN-NaN-NaN"
"40",-19,"NaN-NaN-NaN"
"39",-20,"NaN-NaN-NaN"
"39",-20,"NaN-NaN-NaN"
"39",-20,"NaN-NaN-NaN"
"41",-29,"NaN-NaN-NaN"
"41",-29,"NaN-NaN-NaN"
"41",-29,"NaN-NaN-NaN"
"42",-29,"NaN-NaN-NaN"
"42",-29,"NaN-NaN-NaN"
"43",-29,"NaN-NaN-NaN"
"43",-29,"NaN-NaN-NaN"
"43",-29,"NaN-NaN-NaN"
"43",-29,"NaN-NaN-NaN"
"45",-4,"NaN-NaN-NaN"
"45",-4,"NaN-NaN-NaN"
"44",-12,"NaN-NaN-NaN"
"44",-12,"NaN-NaN-NaN"
"44",-12,"NaN-NaN-NaN"
"46",-31,"NaN-NaN-NaN"
"46",-31,"NaN-NaN-NaN"
"46",-31,"NaN-NaN-NaN"
"46",-31,"NaN-NaN-NaN"
"47",-20,"NaN-NaN-NaN"
"47",-20,"NaN-NaN-NaN"
"47",-20,"NaN-NaN-NaN"
"48",-27,"NaN-NaN-NaN"
"48",-27,"NaN-NaN-NaN"
"49",-30,"NaN-NaN-NaN"
"49",-30,"NaN-NaN-NaN"
"49",-30,"NaN-NaN-NaN"
"49",-30,"NaN-NaN-NaN"
"50",-6,"NaN-NaN-NaN"
"50",-6,"NaN-NaN-NaN"
"51",-14,"NaN-NaN-NaN"
"51",-14,"NaN-NaN-NaN"
"53",-29,"NaN-NaN-NaN"
"53",-29,"NaN-NaN-NaN"
